Well number,Patient,Condition,Cell type
A7,2,no GAA,infant
B7,2,no GAA,infant
C7,2,no GAA,infant
D7,2,no GAA,infant
E7,2,no GAA,infant
F7,2,no GAA,infant
G7,2,no GAA,infant
H7,2,no GAA,infant
I7,2,no GAA,infant
J7,2,no GAA,infant
K7,2,no GAA,infant
L7,2,no GAA,infant
M7,2,no GAA,infant
N7,2,no GAA,infant
O7,2,no GAA,infant
A8,2,no GAA,infant
B8,2,no GAA,infant
C8,2,no GAA,infant
D8,2,no GAA,infant
E8,2,no GAA,infant
F8,2,no GAA,infant
G8,2,no GAA,infant
H8,2,no GAA,infant
I8,2,no GAA,infant
J8,2,no GAA,infant
K8,2,no GAA,infant
L8,2,no GAA,infant
M8,2,no GAA,infant
N8,2,no GAA,infant
O8,2,no GAA,infant
P8,2,no GAA,infant
A9,2,no GAA,infant
B9,2,no GAA,infant
C9,2,no GAA,infant
D9,2,no GAA,infant
E9,2,no GAA,infant
F9,2,no GAA,infant
G9,2,no GAA,infant
H9,2,no GAA,infant
I9,2,no GAA,infant
J9,2,no GAA,infant
K9,2,no GAA,infant
L9,2,no GAA,infant
M9,2,no GAA,infant
N9,2,no GAA,infant
O9,2,no GAA,infant
P9,2,no GAA,infant
A10,2,with GAA,infant
B10,2,with GAA,infant
C10,2,with GAA,infant
D10,2,with GAA,infant
E10,2,with GAA,infant
F10,2,with GAA,infant
G10,2,with GAA,infant
H10,2,with GAA,infant
I10,2,with GAA,infant
J10,2,with GAA,infant
K10,2,with GAA,infant
L10,2,with GAA,infant
M10,2,with GAA,infant
N10,2,with GAA,infant
O10,2,with GAA,infant
A11,2,with GAA,infant
B11,2,with GAA,infant
C11,2,with GAA,infant
D11,2,with GAA,infant
E11,2,with GAA,infant
F11,2,with GAA,infant
G11,2,with GAA,infant
H11,2,with GAA,infant
I11,2,with GAA,infant
J11,2,with GAA,infant
K11,2,with GAA,infant
L11,2,with GAA,infant
M11,2,with GAA,infant
N11,2,with GAA,infant
O11,2,with GAA,infant
P11,2,with GAA,infant
A12,2,with GAA,infant
B12,2,with GAA,infant
C12,2,with GAA,infant
D12,2,with GAA,infant
E12,2,with GAA,infant
F12,2,with GAA,infant
G12,2,with GAA,infant
H12,2,with GAA,infant
I12,2,with GAA,infant
J12,2,with GAA,infant
K12,2,with GAA,infant
L12,2,with GAA,infant
M12,2,with GAA,infant
N12,2,with GAA,infant
O12,2,with GAA,infant
P12,2,with GAA,infant
