Well number,Patient,Condition,Cell type
A1,1,no GAA,infant
B1,1,no GAA,infant
C1,1,no GAA,infant
D1,1,no GAA,infant
E1,1,no GAA,infant
F1,1,no GAA,infant
G1,1,no GAA,infant
H1,1,no GAA,infant
I1,1,no GAA,infant
J1,1,no GAA,infant
K1,1,no GAA,infant
L1,1,no GAA,infant
M1,1,no GAA,infant
N1,1,no GAA,infant
O1,1,no GAA,infant
A2,1,no GAA,infant
B2,1,no GAA,infant
C2,1,no GAA,infant
D2,1,no GAA,infant
E2,1,no GAA,infant
F2,1,no GAA,infant
G2,1,no GAA,infant
H2,1,no GAA,infant
I2,1,no GAA,infant
J2,1,no GAA,infant
K2,1,no GAA,infant
L2,1,no GAA,infant
M2,1,no GAA,infant
N2,1,no GAA,infant
O2,1,no GAA,infant
P2,1,no GAA,infant
A3,1,no GAA,infant
B3,1,no GAA,infant
C3,1,no GAA,infant
D3,1,no GAA,infant
E3,1,no GAA,infant
F3,1,no GAA,infant
G3,1,no GAA,infant
H3,1,no GAA,infant
I3,1,no GAA,infant
J3,1,no GAA,infant
K3,1,no GAA,infant
L3,1,no GAA,infant
M3,1,no GAA,infant
N3,1,no GAA,infant
O3,1,no GAA,infant
P3,1,no GAA,infant
A4,1,with GAA,infant
B4,1,with GAA,infant
C4,1,with GAA,infant
D4,1,with GAA,infant
E4,1,with GAA,infant
F4,1,with GAA,infant
G4,1,with GAA,infant
H4,1,with GAA,infant
I4,1,with GAA,infant
J4,1,with GAA,infant
K4,1,with GAA,infant
L4,1,with GAA,infant
M4,1,with GAA,infant
N4,1,with GAA,infant
O4,1,with GAA,infant
A5,1,with GAA,infant
B5,1,with GAA,infant
C5,1,with GAA,infant
D5,1,with GAA,infant
E5,1,with GAA,infant
F5,1,with GAA,infant
G5,1,with GAA,infant
H5,1,with GAA,infant
I5,1,with GAA,infant
J5,1,with GAA,infant
K5,1,with GAA,infant
L5,1,with GAA,infant
M5,1,with GAA,infant
N5,1,with GAA,infant
O5,1,with GAA,infant
P5,1,with GAA,infant
A6,1,with GAA,infant
B6,1,with GAA,infant
C6,1,with GAA,infant
D6,1,with GAA,infant
E6,1,with GAA,infant
F6,1,with GAA,infant
G6,1,with GAA,infant
H6,1,with GAA,infant
I6,1,with GAA,infant
J6,1,with GAA,infant
K6,1,with GAA,infant
L6,1,with GAA,infant
M6,1,with GAA,infant
N6,1,with GAA,infant
O6,1,with GAA,infant
P6,1,with GAA,infant
